place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado
ChIJIWipDAiLQQ0R2y9Aw71qEYs,CLÍNICA CARRANCO,Fisioterapia,Fuenlabrada,"Pozuelo, 12 (Entrada Local C, C. de Brunete, 28945 Fuenlabrada, Madrid, España",+34 640 31 29 35,http://www.fisioterapiafuenlabrada.com/,True,4.9,441,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJIWipDAiLQQ0R2y9Aw71qEYs.jpg,propia
ChIJJ_GbCp6MQQ0RnpAnbsmPM2Y,Clínica Nortia,Fisioterapia,Fuenlabrada,"C. de Oviedo, 11, Loc 21, 28942 Fuenlabrada, Madrid, España",+34 916 09 00 88,http://clinicanortia.es/,True,4.9,95,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJJ_GbCp6MQQ0RnpAnbsmPM2Y.jpg,propia
ChIJgXoA9wuLQQ0RpVcyLjrlhJo,Premium Fuenlabrada - Fisioterapia y podología,Fisioterapia,Fuenlabrada,"Paseo de Roma, 1, 28943 Fuenlabrada, Madrid, España",+34 916 07 71 02,https://premiumhealthsport.com/,True,4.6,242,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJgXoA9wuLQQ0RpVcyLjrlhJo.jpg,propia
ChIJC-db_6aLQQ0RT-_i7w6JOTY,"Clínica Fages. Fisioterapia, traumatología, podologia, pilates y medicina estética",Fisioterapia,Fuenlabrada,"C. de Valencia, 11, 28945 Fuenlabrada, Madrid, España",+34 637 55 74 48,http://clinicafages.com/,True,4.9,269,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJC-db_6aLQQ0RT-_i7w6JOTY.jpg,propia
ChIJQc8LCgaLQQ0RYTuxv0IECYI,Fisioterapia Clínica Axis,Fisioterapia,Fuenlabrada,"C. de Brasil, 8, 28946 Fuenlabrada, Madrid, España",+34 657 12 54 96,https://www.facebook.com/clinicaaxisfuenlabrada,False,4.9,50,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJQc8LCgaLQQ0RYTuxv0IECYI.jpg,social
ChIJvYc4VqaLQQ0RykM6CFXOir8,Fisioterapia Cuídate,Fisioterapia,Fuenlabrada,"C. de Castilla la Nueva, 2, 28941 Fuenlabrada, Madrid, España",+34 910 09 44 92,https://www.fisioterapiacuidate.es/,True,4.5,52,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJvYc4VqaLQQ0RykM6CFXOir8.jpg,propia
ChIJe4XmnIGLQQ0RyGQ5QkWvTH8,FISIOTRAINING,Fisioterapia,Fuenlabrada,"Av. del Hospital, 13, 28942 Fuenlabrada, Madrid, España",+34 658 55 63 15,https://fisiotraining.es/,True,5,523,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJe4XmnIGLQQ0RyGQ5QkWvTH8.jpg,propia
ChIJN-aVFguLQQ0RFbqVWMD2ra0,Centro Médico Medicalia Salud,Fisioterapia,Fuenlabrada,"Nº LOCAL 3, C. de Italia, 6, 28943 Fuenlabrada, Madrid, España",+34 911 72 45 03,http://www.clinicamedicalia.com/,True,4.6,372,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJN-aVFguLQQ0RFbqVWMD2ra0.jpg,propia
ChIJ1YU2gBiLQQ0RQ0J4yCBoByY,EZMA Instituto de Salud Integral,Fisioterapia,Fuenlabrada,"C. de la Noria, 16, 28944 Fuenlabrada, Madrid, España",+34 617 63 03 94,http://www.ezmasalud.com/,True,4.8,78,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ1YU2gBiLQQ0RQ0J4yCBoByY.jpg,propia
ChIJx2ON97wgQg0RCAZw9yl2HhQ,Fisioterapia Getaris,Fisioterapia,Fuenlabrada,"C. Pizarro, 34, 28902 Getafe, Madrid, España",+34 695 66 48 16,http://www.fisiogetaris.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_ficha,True,4.8,201,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJx2ON97wgQg0RCAZw9yl2HhQ.jpg,propia
ChIJsd0d8x-KQQ0ROMskjfYJ5jA,Clínica Leganés | Fisioterapia y Especialidades,Fisioterapia,Fuenlabrada,"Av. de Fuenlabrada, 46, 28911 Leganés, Madrid, España",+34 640 35 67 92,https://clinica-leganes.com/,True,4.8,285,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJsd0d8x-KQQ0ROMskjfYJ5jA.jpg,propia
